Dir.DyadID,DyadID,IO1,IO2,Def.year,Def.score.avg
1,1,AC,ACAP,2004,0
2,1,AC,ACAP,2006,0
3,1,AC,ACAP,2009,0
4,1,AC,ACAP,2011,0
5,1,AC,ACAP,2013,0
6,1,AC,ACAP,2015,0
7,1,AC,ACAP,2017,0
8,1,AC,ACAP,2019,0
9,1,AC,ACAP,2021,0
10,1,AC,ACAP,2023,0
11,2,AC,ACPB,2009,2
12,2,AC,ACPB,2011,0
13,2,AC,ACPB,2013,0
14,2,AC,ACPB,2015,0
15,2,AC,ACPB,2017,0
16,2,AC,ACPB,2019,0
17,2,AC,ACPB,2021,0
18,2,AC,ACPB,2023,0
19,3,AC,ATS-EP,2002,0
20,3,AC,ATS-EP,2004,0
21,3,AC,ATS-EP,2006,3
22,3,AC,ATS-EP,2009,2
23,3,AC,ATS-EP,2011,0
24,3,AC,ATS-EP,2013,0
25,3,AC,ATS-EP,2015,0
26,3,AC,ATS-EP,2017,0
27,3,AC,ATS-EP,2019,0
28,3,AC,ATS-EP,2021,0
29,3,AC,ATS-EP,2023,0
30,4,AC,Barcelona-SPA/BD,2000,0
31,4,AC,Barcelona-SPA/BD,2002,0
32,4,AC,Barcelona-SPA/BD,2004,0
33,4,AC,Barcelona-SPA/BD,2006,0
34,4,AC,Barcelona-SPA/BD,2009,0
35,4,AC,Barcelona-SPA/BD,2011,0
36,4,AC,Barcelona-SPA/BD,2013,0
37,4,AC,Barcelona-SPA/BD,2015,0
38,4,AC,Barcelona-SPA/BD,2017,0
39,4,AC,Barcelona-SPA/BD,2019,0
40,4,AC,Barcelona-SPA/BD,2021,0
41,4,AC,Barcelona-SPA/BD,2023,0
42,5,AC,CBD,1998,0
43,5,AC,CBD,2000,0
44,5,AC,CBD,2002,0
45,5,AC,CBD,2004,0
46,5,AC,CBD,2006,0
47,5,AC,CBD,2009,5
48,5,AC,CBD,2011,0
49,5,AC,CBD,2013,0
50,5,AC,CBD,2015,0
51,5,AC,CBD,2017,0
52,5,AC,CBD,2019,0
53,5,AC,CBD,2021,3
54,5,AC,CBD,2023,0
55,6,AC,CCAMLR,1998,0
56,6,AC,CCAMLR,2000,0
57,6,AC,CCAMLR,2002,0
58,6,AC,CCAMLR,2004,0
59,6,AC,CCAMLR,2006,0
60,6,AC,CCAMLR,2009,0
61,6,AC,CCAMLR,2011,0
62,6,AC,CCAMLR,2013,0
63,6,AC,CCAMLR,2015,0
64,6,AC,CCAMLR,2017,0
65,6,AC,CCAMLR,2019,0
66,6,AC,CCAMLR,2021,0
67,6,AC,CCAMLR,2023,0
68,7,AC,CCSBT,1998,0
69,7,AC,CCSBT,2000,0
70,7,AC,CCSBT,2002,0
71,7,AC,CCSBT,2004,0
72,7,AC,CCSBT,2006,0
73,7,AC,CCSBT,2009,0
74,7,AC,CCSBT,2011,0
75,7,AC,CCSBT,2013,0
76,7,AC,CCSBT,2015,0
77,7,AC,CCSBT,2017,0
78,7,AC,CCSBT,2019,0
79,7,AC,CCSBT,2021,0
80,7,AC,CCSBT,2023,0
81,8,AC,CITES,1998,0
82,8,AC,CITES,2000,0
83,8,AC,CITES,2002,0
84,8,AC,CITES,2004,0
85,8,AC,CITES,2006,0
86,8,AC,CITES,2009,0
87,8,AC,CITES,2011,0
88,8,AC,CITES,2013,0
89,8,AC,CITES,2015,0
90,8,AC,CITES,2017,0
91,8,AC,CITES,2019,0
92,8,AC,CITES,2021,0
93,8,AC,CITES,2023,0
94,9,AC,CMS,1998,0
95,9,AC,CMS,2000,0
96,9,AC,CMS,2002,0
97,9,AC,CMS,2004,0
98,9,AC,CMS,2006,0
99,9,AC,CMS,2009,0
100,9,AC,CMS,2011,0
101,9,AC,CMS,2013,0
102,9,AC,CMS,2015,0
103,9,AC,CMS,2017,0
104,9,AC,CMS,2019,0
105,9,AC,CMS,2021,0
106,9,AC,CMS,2023,0
107,10,AC,FAO,2006,0
108,10,AC,FAO,2009,0
